sequence,fps,frames,left_arm__shape_mean_deg,left_arm__elbow_p95_deg,left_arm__upper_ori_p95_deg,left_arm__hand_ori_p95_deg,left_arm__limit_occupancy,left_arm__limit_longest_frames,left_arm__limit_longest_sec,left_arm__score,left_arm__status,right_arm__shape_mean_deg,right_arm__elbow_p95_deg,right_arm__upper_ori_p95_deg,right_arm__hand_ori_p95_deg,right_arm__limit_occupancy,right_arm__limit_longest_frames,right_arm__limit_longest_sec,right_arm__score,right_arm__status,waist__torso_ori_mean_deg,waist__torso_ori_p95_deg,waist__limit_occupancy,waist__limit_longest_frames,waist__limit_longest_sec,waist__score,waist__status,sequence_status,repair_region
gJB_sBM_c01_d07_mJB0_ch06,30.0,359,11.652672660144521,23.395250300124246,17.3823148980006,16.521687494140846,0.07520891364902507,12,0.4,0.0,GOOD,10.677355130809996,16.0045698878201,19.383388066439313,21.8985389173751,0.06128133704735376,10,0.3333333333333333,0.68936230275972,GOOD,5.743033259541925,11.004964113851543,0.03064066852367688,5,0.16666666666666666,0.2165194907305802,GOOD,GOOD,none
gJB_sBM_c01_d07_mJB0_ch08,30.0,359,12.173824175941135,26.536114074356593,15.217597920894262,12.401600069442367,0.033426183844011144,9,0.3,0.1568983970391915,GOOD,10.483205122826968,20.068388652608594,13.696530270221544,16.468081848600704,0.08635097493036212,24,0.8,0.1784904045813806,GOOD,8.136636719289767,15.406506967755217,0.0,0,0.0,0.9508487840655929,GOOD,GOOD,none
gJS_sBM_c01_d01_mJS0_ch01,30.0,359,11.277407184572443,14.36151547486576,18.044277578058075,23.479947739512458,0.4206128133704735,151,5.033333333333333,0.5646770764512786,GOOD,9.485226650053724,11.427089455508412,18.292102880256532,26.180707937287092,0.0807799442896936,18,0.6,0.9545050938918896,GOOD,3.2803204238285035,8.523841687063765,0.0,0,0.0,0.0,GOOD,GOOD,none
gJS_sBM_c01_d01_mJS0_ch02,30.0,359,9.580395490906625,7.510015652633342,7.483607625991197,13.937580558004663,0.7938718662952646,174,5.8,0.0,GOOD,8.973047752989157,9.135992556685641,3.933074146806685,12.758495247202584,0.20334261838440112,68,2.2666666666666666,0.0,GOOD,3.24904466174687,3.9411052153172963,0.0,0,0.0,0.0,GOOD,GOOD,none
gJS_sBM_c01_d01_mJS0_ch03,30.0,359,10.465942982596234,22.677208315452546,15.583824610247989,20.097771675306564,0.05013927576601671,16,0.5333333333333333,0.27336581259543413,GOOD,11.286082671019567,20.50791820769516,14.558960962675046,20.315920691365758,0.03064066852367688,11,0.36666666666666664,0.5124223057360897,GOOD,6.158034093278861,17.697674223098744,0.0,0,0.0,0.8007804500424462,GOOD,GOOD,none
gJS_sBM_c01_d01_mJS0_ch04,30.0,359,11.813579788056707,2.0853351654882633,19.970862388578006,20.464915345325515,0.0,0,0.0,0.4568384314836079,GOOD,14.984848701644061,6.667908527846402,22.85323388354314,22.936393308986062,0.0,0,0.0,1.0889101618553116,GOOD,2.762091195391046,4.297710193389874,0.0,0,0.0,0.0,GOOD,GOOD,none
gJS_sBM_c01_d01_mJS0_ch05,30.0,359,8.24285348644264,6.704846653578553,5.059063154672662,9.196078745936227,0.6350974930362117,141,4.7,0.0,GOOD,8.35266962889431,6.20767890397733,4.249013262558391,8.565417180210815,0.011142061281337047,4,0.13333333333333333,0.0,GOOD,2.0878600995791703,3.481429357169592,0.0,0,0.0,0.0,GOOD,GOOD,none
gJS_sBM_c01_d01_mJS0_ch06,30.0,359,8.12470695353332,13.471174996808958,17.547867850884547,12.316574397875044,0.0,0,0.0,0.0,GOOD,9.46170359338467,14.29012384920999,13.774526331290694,12.197183828027471,0.0,0,0.0,0.0,GOOD,2.9804526262999156,6.153179239457899,0.0,0,0.0,0.0,GOOD,GOOD,none
gJS_sBM_c01_d01_mJS0_ch08,30.0,359,8.608946692609365,7.053915220165768,6.406959188724061,9.11570445945277,0.4763231197771588,46,1.5333333333333334,0.0,GOOD,8.173410553042004,5.131977737180589,6.918657363499792,10.254713164697868,0.3398328690807799,43,1.4333333333333333,0.0,GOOD,3.2634061006935142,5.312678869704109,0.0,0,0.0,0.0,GOOD,GOOD,none
gJS_sBM_c01_d01_mJS0_ch09,30.0,359,8.82124199437425,7.822680638040406,12.488671366833545,12.984422696424684,0.479108635097493,53,1.7666666666666666,0.0,GOOD,8.76633402642415,8.559821561288365,15.992186491266315,16.367996716393115,0.2924791086350975,38,1.2666666666666666,0.04087854468339567,GOOD,3.528926461136873,7.0343833828433775,0.0,0,0.0,0.0,GOOD,GOOD,none
